ds,Total births by sex,Total deaths by sex,Infant mortality rate (IMR),Life expectancy E(x) - complete,Fertility rates by age of mother (1-year),Population by 1-year age groups and sex,Urban population growth (annual %),Refugee population by country or territory of origin,y
1950-01-01,346138.12617937115,150241.59460754847,59.544763367505425,24.34569282431468,202.9576087270364,84865.87755102041,5.073135525896599,432.7142857142857,2950300.0
1951-01-01,359992.66893961653,149181.34038437274,46.195329587098534,24.274656222821914,197.69512579147056,100422.18707482993,5.061441596919727,847.8707482993198,3035270.0
1952-01-01,351366.29933144996,151538.93311002024,55.75958400435202,23.792323343642654,199.87546825258786,57654.42857142857,5.056491560495238,685.9455782312925,3120240.0
1953-01-01,355138.497804635,152317.30431218148,53.74677402505438,23.29371220263238,208.82762633476705,32248.70408163265,5.207645517189116,191.52380952380952,3205210.0
1954-01-01,359175.19166481524,152264.2447773394,48.47745512631174,22.828126899476594,181.805091473608,94797.6156462585,4.576693485095237,213.40136054421768,3290180.0
1955-01-01,349803.23423363786,154774.60006793006,60.22919428905399,22.293087721554617,204.24666563515032,97070.1156462585,5.0989860299687075,245.31972789115648,3375150.0
1956-01-01,369378.73869462864,154707.26373282837,40.81069136351265,21.799191515238803,170.96347187510653,54620.948979591834,4.967661081315646,314.265306122449,3460120.0
1957-01-01,353054.17959612724,161274.1574762404,63.863221374473206,21.474211934791693,221.07486928743282,29553.48979591837,5.224301277714286,96.14965986394557,3545090.0
1958-01-01,373796.8050120981,158179.94941210755,41.06321194487875,21.377856480711426,191.354541678278,107721.3163265306,4.979081159153742,137.08843537414967,3630060.0
1959-01-01,351979.92299120774,160993.22250758472,64.34563517838859,23.9262620774302,215.87053881216346,94815.62244897959,4.665746291820408,185.66666666666666,3715030.0
1960-01-01,369491.8240390204,157236.6794658717,44.62286293657846,24.450030847428682,199.4878957946289,52559.47619047619,5.263912862531972,202.14965986394557,3800000.0
1961-01-01,358585.32264873135,156384.10025977463,53.191366259641136,23.911099422053056,192.2096088387381,27748.11224489796,4.715251122223129,395.5034013605442,3920000.0
1962-01-01,356464.3050697248,155721.71087504228,55.00465963116453,23.471416261896724,199.4544491369647,126585.72789115646,5.184316250258504,4448.959183673469,4040000.0
1963-01-01,361407.7889951623,154838.1552682812,49.17545166181228,22.940882691809183,186.7845208327141,98757.77210884354,5.017865486601361,4426.210884353742,4160000.0
1964-01-01,326573.8485855782,159578.28085890945,86.22226507244133,22.486343381028632,223.46303252816156,56241.85034013606,5.075201370757823,283.02721088435374,4280000.0
